Name,Publisher,Year,Genre,Generation,Platform,Platform_type,Platform_company,Platform_Multi,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Candace Kane's Candy Factory,Destineer,2008,Action,7,DS,Portable,Nintendo,Multi,0.04,0.0,0.0,0.0,0.04
The Munchables,Namco Bandai Games,2009,Action,7,Wii,Traditional,Nintendo,Native,0.17,0.0,0.0,0.01,0.18000000000000002
Otome wa Oanesama Boku ni Koi Shiteru Portable,Alchemist,2010,Adventure,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Deal or No Deal: Special Edition,Zoo Games,2010,Misc,7,DS,Portable,Nintendo,Native,0.04,0.0,0.0,0.0,0.04
Ben 10 Ultimate Alien: Cosmic Destruction,D3Publisher,2010,Platform,7,PS3,Traditional,Sony,Multi,0.12,0.09,0.0,0.04,0.25
Power Pro Kun Pocket 8,Konami Digital Entertainment,2005,Sports,7,DS,Portable,Nintendo,Native,0.0,0.0,0.14,0.0,0.14
JASF: Jane's Advanced Strike Fighters,Deep Silver,2011,Simulation,7,PC,PC,PC,Multi,0.02,0.01,0.0,0.0,0.03
Samurai Warriors: State of War,Tecmo Koei,2005,Action,7,PSP,Portable,Sony,Native,0.07,0.0,0.11,0.01,0.19
Imabikisou,Sega,2007,Adventure,7,PS3,Traditional,Sony,Native,0.0,0.0,0.04,0.0,0.04
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,THQ,2011,Action,7,PS3,Traditional,Sony,Multi,0.04,0.03,0.0,0.01,0.08
Ford Racing,Empire Interactive,2001,Racing,5,PS,Traditional,Sony,Native,0.48,0.33,0.0,0.06,0.8700000000000001
Harvest Moon: More Friends of Mineral Town,Ubisoft,2003,Simulation,6,GBA,Portable,Nintendo,Native,0.14,0.05,0.0,0.0,0.19
Mount & Blade,Paradox Interactive,2008,Role-Playing,7,PC,PC,PC,Native,0.0,0.02,0.0,0.0,0.02
